BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,diff_in,diff_out
1,Manhattan,61,MN01,Marble Hill-Inwood,31845.33649,17732450.3705,-702,-33
1,Manhattan,61,MN11,Central Harlem South,16619.2958,14436192.3012,-1147,-78
3,Brooklyn,47,BK37,Park Slope-Gowanus,31475.94995,42509349.142,-1160,-1131
3,Brooklyn,47,BK32,Sunset Park West,84548.04317,50064219.0075,-463,-420
3,Brooklyn,47,BK83,Cypress Hills-City Line,35539.18021,27610983.9676,-259,-44
1,Manhattan,61,MN40,Upper East Side-Carnegie Hill,23778.41076,20065364.1714,-1584,-345
1,Manhattan,61,MN14,Lincoln Square,19866.05352,15805638.4378,-1789,-607
2,Bronx,5,BX28,Van Cortlandt Village,21945.71985,25666125.1944,-319,-51
1,Manhattan,61,MN12,Upper West Side,29158.15331,34380394.5324,-5748,-3241
1,Manhattan,61,MN28,Lower East Side,25466.61147,23297765.6942,-1134,-161
1,Manhattan,61,MN35,Washington Heights North,26672.98543,22660613.519,-1823,-151
2,Bronx,5,BX26,Highbridge,18507.42365,16457223.0892,-254,-709
2,Bronx,5,BX63,West Concourse,28550.75638,19386641.6315,-369,-265
